[0.2038, 0.1049]
[0.2017, 0.1024]
[0.1997, 0.0993]
[0.2009, 0.0974]
[0.1977, 0.0962]
[0.1957, 0.0939]
[0.1918, 0.0887]
[0.1898, 0.0859]
[0.1879, 0.0838]
[0.186, 0.0812]
[0.1841, 0.0792]
[0.1823, 0.0767]
[0.1805, 0.0743]
[0.1787, 0.0725]
[0.1769, 0.0703]
[0.1752, 0.0686]
[0.1735, 0.0665]
[0.1718, 0.065]
[0.1702, 0.0631]
[0.1685, 0.0616]
[0.167, 0.0599]
[0.1654, 0.0586]
[0.1639, 0.0571]
[0.1625, 0.0557]
[0.161, 0.0546]
[0.1596, 0.0533]
